10000421,12,29,38,39,63,23,32,53,55,15
10000574,17,68,61,34,33,28,36,39,7,66
10001015,28,31,20,16,5,48,17,24,29,46
10001075,61,29,34,9,23,71,68,22,31,37
10001271,41,65,64,62,66,71,1,68,67,16
10001648,39,20,48,36,52,66,25,56,14,19
10002073,33,7,53,9,14,75,52,23,56,2
10002240,43,33,9,66,59,47,29,22,19,51
10002479,5,26,10,49,36,57,24,27,21,12
10002576,69,63,52,57,43,29,30,25,49,8
10002732,57,17,71,72,46,28,14,22,36,61
10002859,54,27,25,75,30,31,69,20,4,58
10003004,65,68,28,71,63,4,62,42,55,27
10003031,55,39,29,66,45,47,57,44,34,10
10003076,4,35,28,5,52,42,33,9,50,53
10003151,9,37,7,53,36,23,74,54,56,68
10003167,74,37,20,34,33,73,26,36,62,8
10003360,32,29,72,60,41,25,16,9,61,1
10003615,19,47,45,66,58,16,59,48,64,7
10003700,67,25,45,20,70,60,54,3,61,14
10003841,10,35,46,37,61,70,50,52,51,23
10004248,72,73,39,11,13,34,20,1,23,16
10004367,26,31,3,10,55,66,8,33,28,24
10004375,40,70,63,17,55,66,67,71,69,7
10004710,40,23,47,13,59,54,70,21,72,12
10004943,56,16,73,11,25,70,4,61,44,63
10005172,22,63,34,69,28,16,8,30,39,51
10005192,36,75,38,55,9,65,64,28,6,47
10005672,30,20,51,25,65,57,60,61,17,75
10005829,63,2,41,49,55,24,9,43,31,26
10006033,41,23,46,13,4,69,50,68,34,39
10006047,29,58,75,51,43,25,52,42,71,21
10006294,64,23,28,30,13,8,73,24,70,1
10006654,15,22,41,26,40,30,32,24,67,6
10006829,38,50,69,55,7,12,15,67,44,26
10006935,75,38,62,35,20,45,6,53,42,39
10006969,37,1,16,15,26,59,25,53,63,21
10006982,43,64,47,12,61,66,9,49,58,21
10007049,1,42,11,49,52,30,64,27,45,39
10007229,34,49,31,41,26,21,7,36,73,15
10007313,64,13,32,31,70,53,43,45,42,55
10007329,6,62,65,44,2,72,13,7,34,57
10007377,67,23,13,66,21,6,25,69,28,4
10007717,70,57,23,10,71,64,29,40,4,27
10008181,52,18,16,63,23,21,55,2,36,74
10008666,24,75,61,20,59,74,22,43,1,68
10008710,9,45,6,43,58,59,46,26,5,38
10008899,68,8,43,12,54,31,55,27,21,46
10009066,28,8,54,17,31,42,32,67,7,57
10009218,43,10,9,8,61,72,19,27,34,24
10009265,73,62,1,60,25,75,41,10,8,13
10009450,68,36,8,59,63,53,71,14,41,49
10009888,69,9,39,60,71,43,34,31,13,50
10009899,32,69,29,19,13,20,57,26,51,54
10009909,56,24,38,73,14,16,27,70,31,3
10009997,52,25,66,74,72,20,61,73,64,14
10010018,72,57,53,31,15,25,73,54,60,58
10010429,75,58,50,68,4,20,32,40,49,29
10010477,48,20,36,30,40,69,41,32,47,17
10010691,68,14,18,62,12,43,46,20,31,22
10010714,52,61,63,23,24,41,40,62,17,19
10011051,13,12,68,51,48,53,54,74,56,6
10011387,38,24,33,17,63,50,40,70,57,34
10011483,26,7,59,57,56,31,20,22,6,12
10011641,53,28,58,44,15,40,59,64,69,72
10011817,39,37,60,26,1,62,25,64,31,17
10011926,40,17,12,66,11,73,65,16,56,37
10011967,30,72,3,8,43,19,46,63,32,47
10012143,11,44,69,8,60,1,32,22,49,26
10012234,29,26,31,75,40,14,42,18,30,19
10012312,3,28,42,37,64,60,5,65,63,43
10012520,59,48,19,36,23,9,26,63,71,25
10012720,8,13,12,34,47,69,64,32,38,26
10012822,56,69,8,17,2,48,61,25,67,65
10013004,52,73,16,43,69,4,13,41,61,65
10013059,67,42,62,44,40,20,26,73,41,9
10013102,20,30,17,22,64,34,32,31,46,27
10013340,25,46,9,60,15,33,68,74,58,52
